username,pin,DOB,First name,Last Name,Total play time,login time,zip
montoyaelizabeth,5763,1947-08-18,James,Boyd,0,0,92742
qbarton,7783,1958-04-10,Ashley,Phillips,0,0,64399
edward45,2334,2004-05-16,Albert,Patterson,0,0,20380
emily71,7344,1949-01-12,Matthew,Bryan,0,0,26403
tommy73,1232,2000-04-02,Diana,Morales,0,0,72593
morgan61,1219,1974-04-01,Bryan,Sims,0,0,64460
cesargreene,9278,1982-02-22,Andrea,Garcia,0,0,28279
ssmith,8978,1951-09-13,Erika,Buckley,0,0,43126
davidjennings,7984,1969-10-04,Ian,Blevins,0,0,53026
rhonda54,8269,1974-08-04,Stephen,Barnett,0,0,21175
ramirezphillip,6987,1968-10-19,Teresa,Lara,0,0,00543
derek01,3072,1948-03-22,Scott,Mann,0,0,94166
xsmith,8701,1979-02-24,Luis,Andrade,0,0,86352
xwhite,8988,1958-10-25,Robert,Cordova,0,0,49669
michael93,9691,1946-04-23,Amber,Yates,0,0,04798
martinezashley,7540,1952-09-03,Laura,Sullivan,0,0,41872
laura76,8252,1968-06-20,Andrew,Simmons,0,0,60759
rollinslaura,8331,2000-07-26,Anthony,Richards,0,0,98735
rodriguezveronica,3967,1968-02-09,Brian,Sanchez,0,0,05227
bradleythompson,9910,1967-01-17,Shawn,Chavez,0,0,71768
brittanydavis,1403,1976-12-14,Sara,Walters,0,0,85781
jonesmary,3997,1987-03-07,Jeffery,Brewer,0,0,28758
mariah86,2282,1987-04-02,Alexander,Schaefer,0,0,89525
rebecca63,7114,1992-12-20,Tommy,Horne,0,0,51633
barbarajames,1924,1978-01-20,Travis,Mullins,0,0,55073
janet18,1497,1980-10-16,Katherine,King,0,0,82270
khancock,9701,1955-10-24,Tracy,Williams,0,0,00672
cmoran,9075,1986-05-04,Kimberly,Harvey,0,0,90789
matthewsjohn,9698,1965-02-27,Jenna,King,0,0,09634
fjackson,4326,1990-02-15,Kevin,Taylor,0,0,71606
schroederryan,8573,1973-12-17,Carrie,Martin,0,0,14789
hlyons,5286,1993-03-21,Cathy,Avila,0,0,51811
wmiller,2450,1948-12-19,Amanda,Moon,0,0,01475
davidlopez,5640,1978-11-18,Veronica,Scott,0,0,41861
sanderschristopher,8877,2004-09-23,Teresa,Ballard,0,0,63545
westvictoria,7845,1972-09-22,Karen,Booker,0,0,82365
mooremargaret,6529,1991-08-10,Jonathan,Joseph,0,0,31845
rroman,2685,1959-11-08,Vanessa,Peterson,0,0,44216
carol23,6373,1952-10-04,Robert,Patterson,0,0,69445
annetteluna,6157,2001-10-23,Zachary,Jenkins,0,0,87900
james65,4750,1969-10-16,John,Johnson,0,0,91470
lindahunt,5539,1978-05-28,Ana,Chaney,0,0,70261
fredpalmer,5999,1964-07-18,Annette,Rodriguez,0,0,62279
tdowns,8584,1991-12-08,Dylan,Bruce,0,0,58606
christinafleming,3807,1986-01-07,Sara,Johnson,0,0,18136
william32,5791,1992-01-15,Stephen,Smith,0,0,96200
taylorjoseph,1626,1972-04-02,Carla,Thomas,0,0,82580
heather63,6765,2000-11-12,Beth,Gonzalez,0,0,32542
wilsonrobin,4646,1952-11-04,Melissa,Johnson,0,0,90124
jacobmckenzie,2611,1964-02-10,Emily,Hendricks,0,0,86880
